generation,best_fitness,mean_fitness
0,0.5138577294628645,0.4793422926016432
1,0.5138577294628645,0.4752729752101444
2,0.5138577294628645,0.47482316881672276
3,0.5138577294628645,0.47262508590716595
4,0.5138577294628645,0.4643983042221252
5,0.5138577294628645,0.4693334376173678
6,0.5138577294628645,0.4641165609950332
7,0.5138577294628645,0.45981487327402065
8,0.5138577294628645,0.4702434146417553
9,0.5138577294628645,0.4701915343853454
10,0.5138577294628645,0.4678816772502127
11,0.5138577294628645,0.455922622834267
12,0.5138577294628645,0.4656373571776248
13,0.5138577294628645,0.46300137932760627
14,0.5138577294628645,0.46953284292533565
15,0.5138577294628645,0.46157730744822106
16,0.5138577294628645,0.4636958522087535
17,0.5138577294628645,0.46037508979620084
18,0.5138577294628645,0.46235669530858053
19,0.5138577294628645,0.4590449080395917
